Year,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
2074,425471986.170129,1511466413.90199,63073050.9208049,259217078.30307,2352750622.09178,670920797.287065,1139273522.44611
2075,415482234.053487,1293527460.78395,67622251.0281428,266775571.246425,2174640586.38692,822854142.613885,1051055008.37216
2076,477125005.54014,1284677647.04761,65947619.8184811,248147280.311388,2218043460.42766,946466183.57333,1206308615.68971
2077,539955934.487053,1361157250.65462,71005637.3252664,236781610.122359,2687581263.33965,889928598.039381,1191984635.39499
2078,594075032.519992,1467339829.7724,67296600.325809,251078029.225731,2714300290.39154,926584888.192997,1210266948.50074
2079,639134190.895231,1398162653.3644,73075360.2177527,260556464.575632,2554640047.71261,966661759.216068,1213642986.45305
2080,593936490.076054,1514524135.2922,61507433.9650822,262908315.010193,2581366571.93518,874883620.436072,1425385108.964
2081,641666063.926951,1500267904.38101,64708500.1024313,252118054.614372,2839335924.04769,1037049382.96232,1511066594.00216
2082,656837345.947069,1488925176.86629,56539382.452371,255526025.067842,3106282403.8803,969761013.876989,1405126816.43375
2083,632841050.028051,1470325386.82583,59056271.0961499,234596631.40021,3184756310.89861,847159765.575209,1522797095.17248
2084,646751713.098471,1550033423.61084,61637445.4795685,231404720.216221,3193914059.26275,816434425.345265,1518207592.53481
2085,630303905.617022,1464987102.8042,58932355.3132047,249435712.269739,3111828234.68466,825186660.997961,1598845600.54104
2086,659797852.173593,1485048666.3933,62860593.159607,256946060.806854,3107875874.23854,849641330.522197,1604553719.69191
2087,724655289.778789,1624029217.39601,65579865.1266693,265736770.578892,3222390106.78635,851912113.279228,1533802915.41415
2088,719671424.015365,1748379783.45773,63927345.9384549,286991623.268289,3338647008.50733,927906296.551408,1523410840.91896
2089,708358495.398637,1361205639.66835,59697431.506644,276530843.748855,3143053798.50888,952892368.18908,1548367973.59166
2090,752860872.718098,1439150784.61483,55936451.0118666,280106726.743581,3173186416.57787,1000469744.22827,1528684238.93599
2091,722689686.532797,1500930035.60888,58273919.9180191,271726787.941134,2951334015.10581,894990993.029325,1483054176.55956
2092,757504806.495103,1460553388.61349,57128091.2180143,292880014.731621,2999713434.88492,955979300.518975,1549738012.07318
2093,748686533.243902,1509803935.93477,63535123.5125038,310701376.307638,3057658565.09702,938943550.086205,1535435394.31592
2094,745983012.683746,1449704577.8023,59947329.2738313,312265378.035552,3081058735.82841,1013393646.28881,1427497409.34986
2095,720854403.627395,1482823419.15642,61700323.6013046,267316219.533022,3143091641.46141,1083871496.43546,1361475007.68697
2096,770463004.930512,1593583114.72434,62119144.6190594,275452881.565592,3359746962.36702,894541394.87245,1398862168.78925
2097,685387490.449684,1755963563.39097,62707145.3681313,309213263.91902,3553004294.72333,711964269.097171,1311539346.12029
2098,620352353.264172,1690975851.94116,59410090.591446,317631749.4297,2899013111.67819,788382254.428268,1375752912.13744
2099,625084483.45221,1646508102.47116,59508728.151454,352954224.71737,2916128986.16691,858858744.221785,1523799417.74998
